"Statistic","Year","County and Region","UNIT","VALUE"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2004","Midland","Euro Million","3101"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2004","Laois","Euro Million","845"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2004","Longford","Euro Million","381"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2004","Offaly","Euro Million","841"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2004","Westmeath","Euro Million","1034"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2005","State","Euro Million","65697"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2005","Northern and Western","Euro Million","9540"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2005","Border","Euro Million","4151"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2005","Leitrim","Euro Million","342"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2005","Sligo","Euro Million","853"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2005","Cavan","Euro Million","795"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2005","Donegal","Euro Million","1410"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2005","Monaghan","Euro Million","750"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2005","West","Euro Million","5389"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2005","Galway","Euro Million","3148"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2005","Mayo","Euro Million","1498"
"Compensation of Employees (i.e. Wages and Salaries, Benefits in kind, Employers' social insurance contribution)","2005","Roscommon","Euro Million","743"
