"Statistic","Year","Type of Dwelling","Region and County","UNIT","VALUE"
"Units for which Permission Granted","1987","Multi development houses","Limerick","Number",""
"Units for which Permission Granted","1987","Multi development houses","Tipperary","Number",""
"Units for which Permission Granted","1987","Multi development houses","South-East","Number",""
"Units for which Permission Granted","1987","Multi development houses","Carlow","Number",""
"Units for which Permission Granted","1987","Multi development houses","Kilkenny","Number",""
"Units for which Permission Granted","1987","Multi development houses","Wexford","Number",""
"Units for which Permission Granted","1987","Multi development houses","Waterford","Number",""
"Units for which Permission Granted","1987","Multi development houses","South-West","Number",""
"Units for which Permission Granted","1987","Multi development houses","Cork","Number",""
"Units for which Permission Granted","1987","Multi development houses","Cork City","Number",""
"Units for which Permission Granted","1987","Multi development houses","Kerry","Number",""
"Units for which Permission Granted","1987","Multi development houses","Eastern and Midland","Number",""
"Units for which Permission Granted","1987","Multi development houses","Dublin","Number",""
"Units for which Permission Granted","1987","Multi development houses","Dublin City","Number",""
"Units for which Permission Granted","1987","Multi development houses","South Dublin","Number",""
"Units for which Permission Granted","1987","Multi development houses","Fingal","Number",""
"Units for which Permission Granted","1987","Multi development houses","Dun Laoghaire - Rathdown","Number",""
"Units for which Permission Granted","1987","Multi development houses","Mid-East","Number",""
"Units for which Permission Granted","1987","Multi development houses","Kildare","Number",""
"Units for which Permission Granted","1987","Multi development houses","Louth","Number",""
"Units for which Permission Granted","1987","Multi development houses","Meath","Number",""
"Units for which Permission Granted","1987","Multi development houses","Wicklow","Number",""
"Units for which Permission Granted","1987","Multi development houses","Midland","Number",""
"Units for which Permission Granted","1987","Multi development houses","Laois","Number",""
"Units for which Permission Granted","1987","Multi development houses","Longford","Number",""
"Units for which Permission Granted","1987","Multi development houses","Offaly","Number",""
"Units for which Permission Granted","1987","Multi development houses","Westmeath","Number",""
"Units for which Permission Granted","1987","One off houses","State","Number",""
"Units for which Permission Granted","1987","One off houses","Northern and Western","Number",""
"Units for which Permission Granted","1987","One off houses","Border","Number",""
"Units for which Permission Granted","1987","One off houses","Leitrim","Number",""
"Units for which Permission Granted","1987","One off houses","Sligo","Number",""
"Units for which Permission Granted","1987","One off houses","Cavan","Number",""
"Units for which Permission Granted","1987","One off houses","Donegal","Number",""
"Units for which Permission Granted","1987","One off houses","Monaghan","Number",""
"Units for which Permission Granted","1987","One off houses","West","Number",""
"Units for which Permission Granted","1987","One off houses","Galway","Number",""
"Units for which Permission Granted","1987","One off houses","Galway City","Number",""
"Units for which Permission Granted","1987","One off houses","Mayo","Number",""
"Units for which Permission Granted","1987","One off houses","Roscommon","Number",""
"Units for which Permission Granted","1987","One off houses","Southern","Number",""
"Units for which Permission Granted","1987","One off houses","Mid-West","Number",""
"Units for which Permission Granted","1987","One off houses","Clare","Number",""
"Units for which Permission Granted","1987","One off houses","Limerick","Number",""
"Units for which Permission Granted","1987","One off houses","Tipperary","Number",""
"Units for which Permission Granted","1987","One off houses","South-East","Number",""
"Units for which Permission Granted","1987","One off houses","Carlow","Number",""
"Units for which Permission Granted","1987","One off houses","Kilkenny","Number",""
"Units for which Permission Granted","1987","One off houses","Wexford","Number",""
"Units for which Permission Granted","1987","One off houses","Waterford","Number",""
"Units for which Permission Granted","1987","One off houses","South-West","Number",""
"Units for which Permission Granted","1987","One off houses","Cork","Number",""
"Units for which Permission Granted","1987","One off houses","Cork City","Number",""
"Units for which Permission Granted","1987","One off houses","Kerry","Number",""
"Units for which Permission Granted","1987","One off houses","Eastern and Midland","Number",""
"Units for which Permission Granted","1987","One off houses","Dublin","Number",""
"Units for which Permission Granted","1987","One off houses","Dublin City","Number",""
"Units for which Permission Granted","1987","One off houses","South Dublin","Number",""
"Units for which Permission Granted","1987","One off houses","Fingal","Number",""
"Units for which Permission Granted","1987","One off houses","Dun Laoghaire - Rathdown","Number",""
"Units for which Permission Granted","1987","One off houses","Mid-East","Number",""
"Units for which Permission Granted","1987","One off houses","Kildare","Number",""
"Units for which Permission Granted","1987","One off houses","Louth","Number",""
"Units for which Permission Granted","1987","One off houses","Meath","Number",""
"Units for which Permission Granted","1987","One off houses","Wicklow","Number",""
"Units for which Permission Granted","1987","One off houses","Midland","Number",""
"Units for which Permission Granted","1987","One off houses","Laois","Number",""
"Units for which Permission Granted","1987","One off houses","Longford","Number",""
"Units for which Permission Granted","1987","One off houses","Offaly","Number",""
