"Statistic","CensusYear","Sex","Aggregate Town or Rural Area","County and City","UNIT","VALUE"
"Population","2016","Both sexes","Aggregate Rural Area","Fingal","Number","21597"
"Population","2016","Both sexes","Aggregate Rural Area","South Dublin","Number","5552"
"Population","2016","Both sexes","Aggregate Rural Area","Kildare","Number","72166"
"Population","2016","Both sexes","Aggregate Rural Area","Kilkenny","Number","60794"
"Population","2016","Both sexes","Aggregate Rural Area","Laois","Number","43718"
"Population","2016","Both sexes","Aggregate Rural Area","Longford","Number","26916"
"Population","2016","Both sexes","Aggregate Rural Area","Louth","Number","43660"
"Population","2016","Both sexes","Aggregate Rural Area","Meath","Number","80664"
"Population","2016","Both sexes","Aggregate Rural Area","Offaly","Number","44540"
"Population","2016","Both sexes","Aggregate Rural Area","Westmeath","Number","45335"
"Population","2016","Both sexes","Aggregate Rural Area","Wexford","Number","91969"
"Population","2016","Both sexes","Aggregate Rural Area","Wicklow","Number","49832"
"Population","2016","Both sexes","Aggregate Rural Area","Clare","Number","72163"
"Population","2016","Both sexes","Aggregate Rural Area","Cork City","Number","0"
"Population","2016","Both sexes","Aggregate Rural Area","Cork County","Number","202216"
"Population","2016","Both sexes","Aggregate Rural Area","Kerry","Number","95581"
"Population","2016","Both sexes","Aggregate Rural Area","Limerick City and County","Number","89852"
"Population","2016","Both sexes","Aggregate Rural Area","Tipperary","Number","93309"
"Population","2016","Both sexes","Aggregate Rural Area","Waterford City and County","Number","44630"
"Population","2016","Both sexes","Aggregate Rural Area","Galway City","Number","0"
"Population","2016","Both sexes","Aggregate Rural Area","Galway County","Number","139477"
"Population","2016","Both sexes","Aggregate Rural Area","Leitrim","Number","28622"
"Population","2016","Both sexes","Aggregate Rural Area","Mayo","Number","93231"
"Population","2016","Both sexes","Aggregate Rural Area","Roscommon","Number","47244"
"Population","2016","Both sexes","Aggregate Rural Area","Sligo","Number","39438"
"Population","2016","Both sexes","Aggregate Rural Area","Cavan","Number","52918"
"Population","2016","Both sexes","Aggregate Rural Area","Donegal","Number","115778"
"Population","2016","Both sexes","Aggregate Rural Area","Monaghan","Number","43389"
"Population","2016","Male","State","State","Number","2354428"
"Population","2016","Male","State","Carlow","Number","28465"
"Population","2016","Male","State","Dublin City","Number","272270"
"Population","2016","Male","State","Dún Laoghaire-Rathdown","Number","104584"
"Population","2016","Male","State","Fingal","Number","145240"
"Population","2016","Male","State","South Dublin","Number","136277"
"Population","2016","Male","State","Kildare","Number","110546"
"Population","2016","Male","State","Kilkenny","Number","49533"
"Population","2016","Male","State","Laois","Number","42811"
"Population","2016","Male","State","Longford","Number","20587"
"Population","2016","Male","State","Louth","Number","63633"
"Population","2016","Male","State","Meath","Number","96776"
"Population","2016","Male","State","Offaly","Number","38838"
"Population","2016","Male","State","Westmeath","Number","44082"
"Population","2016","Male","State","Wexford","Number","73722"
"Population","2016","Male","State","Wicklow","Number","70156"
"Population","2016","Male","State","Clare","Number","58785"
"Population","2016","Male","State","Cork City","Number","61722"
"Population","2016","Male","State","Cork County","Number","206953"
"Population","2016","Male","State","Kerry","Number","73055"
"Population","2016","Male","State","Limerick City and County","Number","97340"
"Population","2016","Male","State","Tipperary","Number","79668"
"Population","2016","Male","State","Waterford City and County","Number","57651"
"Population","2016","Male","State","Galway City","Number","37800"
"Population","2016","Male","State","Galway County","Number","89863"
"Population","2016","Male","State","Leitrim","Number","16064"
"Population","2016","Male","State","Mayo","Number","65047"
"Population","2016","Male","State","Roscommon","Number","32377"
"Population","2016","Male","State","Sligo","Number","32365"
"Population","2016","Male","State","Cavan","Number","38330"
"Population","2016","Male","State","Donegal","Number","79022"
"Population","2016","Male","State","Monaghan","Number","30866"
"Population","2016","Male","Aggregate Town Area","State","Number","1458727"
"Population","2016","Male","Aggregate Town Area","Carlow","Number","13879"
"Population","2016","Male","Aggregate Town Area","Dublin City","Number","272270"
"Population","2016","Male","Aggregate Town Area","Dún Laoghaire-Rathdown","Number","103356"
"Population","2016","Male","Aggregate Town Area","Fingal","Number","134393"
"Population","2016","Male","Aggregate Town Area","South Dublin","Number","133403"
"Population","2016","Male","Aggregate Town Area","Kildare","Number","74035"
"Population","2016","Male","Aggregate Town Area","Kilkenny","Number","18711"
"Population","2016","Male","Aggregate Town Area","Laois","Number","20593"
"Population","2016","Male","Aggregate Town Area","Longford","Number","6925"
"Population","2016","Male","Aggregate Town Area","Louth","Number","41767"
"Population","2016","Male","Aggregate Town Area","Meath","Number","56044"
"Population","2016","Male","Aggregate Town Area","Offaly","Number","16350"
"Population","2016","Male","Aggregate Town Area","Westmeath","Number","21396"
"Population","2016","Male","Aggregate Town Area","Wexford","Number","27946"
"Population","2016","Male","Aggregate Town Area","Wicklow","Number","44993"
"Population","2016","Male","Aggregate Town Area","Clare","Number","22616"
"Population","2016","Male","Aggregate Town Area","Cork City","Number","61722"
"Population","2016","Male","Aggregate Town Area","Cork County","Number","105073"
"Population","2016","Male","Aggregate Town Area","Kerry","Number","24939"
"Population","2016","Male","Aggregate Town Area","Limerick City and County","Number","51878"
"Population","2016","Male","Aggregate Town Area","Tipperary","Number","32385"
"Population","2016","Male","Aggregate Town Area","Waterford City and County","Number","35254"
"Population","2016","Male","Aggregate Town Area","Galway City","Number","37800"
