"Year","County","Planning Permission"
"2011","Carlow","0"
"2011","Cavan","0"
"2011","Clare","0"
"2011","Cork","0"
"2011","Donegal","0"
"2011","Dublin","0"
"2011","Fingal","0"
"2011","Galway","0"
"2011","Kerry","0"
"2011","Kildare","0"
"2011","Kilkenny","0"
"2011","Laois","0"
"2011","Leitrim","0"
"2011","Limerick","0"
"2011","Longford","0"
"2011","Louth","0"
"2011","Mayo","0"
"2011","Meath","0"
"2011","Monaghan","0"
"2011","Offaly","0"
"2011","Roscommon","0"
"2011","Sligo","0"
"2011","Tipperary","0"
"2011","Waterford","0"
"2011","Wexford","0"
"2011","Wicklow","0"
"2012","Carlow","0"
"2012","Cavan","0"
"2012","Clare","0"
"2012","Cork","0"
"2012","Donegal","0"
"2012","Dublin","0"
"2012","Fingal","0"
"2012","Galway","0"
"2012","Kerry","0"
"2012","Kildare","0"
"2012","Kilkenny","0"
"2012","Laois","0"
"2012","Leitrim","0"
"2012","Limerick","0"
"2012","Longford","0"
"2012","Louth","0"
"2012","Mayo","0"
"2012","Meath","0"
"2012","Monaghan","0"
"2012","Offaly","0"
"2012","Roscommon","0"
"2012","Sligo","0"
"2012","Tipperary","0"
"2012","Waterford","0"
"2012","Wexford","0"
"2012","Wicklow","0"
"2013","Carlow","0"
"2013","Cavan","0"
"2013","Clare","0"
"2013","Cork","0"
"2013","Donegal","0"
"2013","Dublin","0"
"2013","Fingal","0"
"2013","Galway","0"
"2013","Kerry","0"
"2013","Kildare","0"
"2013","Kilkenny","0"
"2013","Laois","0"
"2013","Leitrim","0"
"2013","Limerick","0"
"2013","Longford","0"
"2013","Louth","0"
"2013","Mayo","0"
"2013","Meath","0"
"2013","Monaghan","0"
"2013","Offaly","0"
"2013","Roscommon","0"
"2013","Sligo","0"
"2013","Tipperary","0"
"2013","Waterford","0"
"2013","Wexford","0"
"2013","Wicklow","0"
"2014","Carlow","0"
"2014","Cavan","0"
"2014","Clare","0"
"2014","Cork","0"
"2014","Donegal","0"
"2014","Dublin","0"
"2014","Fingal","0"
"2014","Galway","0"
"2014","Kerry","0"
"2014","Kildare","0"
"2014","Kilkenny","0"
"2014","Laois","0"
"2014","Leitrim","0"
"2014","Limerick","0"
"2014","Longford","0"
"2014","Louth","0"
"2014","Mayo","0"
"2014","Meath","0"
"2014","Monaghan","0"
"2014","Offaly","0"
"2014","Roscommon","0"
"2014","Sligo","0"
"2014","Tipperary","0"
"2014","Waterford","0"
"2014","Wexford","0"
"2014","Wicklow","0"
"2015","Carlow","0"
"2015","Cavan","0"
"2015","Clare","0"
"2015","Cork","0"
"2015","Donegal","0"
"2015","Dublin","0"
"2015","Fingal","0"
"2015","Galway","0"
"2015","Kerry","0"
"2015","Kildare","0"
"2015","Kilkenny","0"
"2015","Laois","0"
"2015","Leitrim","0"
"2015","Limerick","0"
"2015","Longford","0"
"2015","Louth","0"
"2015","Mayo","0"
"2015","Meath","0"
"2015","Monaghan","0"
"2015","Offaly","0"
"2015","Roscommon","0"
"2015","Sligo","0"
"2015","Tipperary","0"
"2015","Waterford","0"
"2015","Wexford","0"
"2015","Wicklow","0"
"2016","Carlow","0"
"2016","Cavan","0"
"2016","Clare","0"
"2016","Cork","0"
"2016","Donegal","0"
"2016","Dublin","0"
"2016","Fingal","0"
"2016","Galway","0"
"2016","Kerry","0"
"2016","Kildare","0"
"2016","Kilkenny","0"
"2016","Laois","0"
"2016","Leitrim","0"
"2016","Limerick","0"
"2016","Longford","0"
"2016","Louth","0"
"2016","Mayo","0"
"2016","Meath","0"
"2016","Monaghan","0"
"2016","Offaly","0"
"2016","Roscommon","0"
"2016","Sligo","0"
"2016","Tipperary","0"
"2016","Waterford","0"
"2016","Wexford","0"
"2016","Wicklow","0"
"2017","Carlow","0"
"2017","Cavan","0"
"2017","Clare","0"
"2017","Cork","0"
"2017","Donegal","0"
"2017","Dublin","0"
"2017","Fingal","0"
"2017","Galway","0"
"2017","Kerry","0"
"2017","Kildare","0"
"2017","Kilkenny","0"
"2017","Laois","0"
"2017","Leitrim","0"
"2017","Limerick","0"
"2017","Longford","0"
"2017","Louth","0"
"2017","Mayo","0"
"2017","Meath","0"
"2017","Monaghan","0"
"2017","Offaly","0"
"2017","Roscommon","0"
"2017","Sligo","0"
"2017","Tipperary","0"
"2017","Waterford","0"
"2017","Wexford","0"
"2017","Wicklow","0"
"2018","Carlow","209"
"2018","Cavan","521"
"2018","Clare","865"
"2018","Cork","6982"
"2018","Donegal","745"
"2018","Dublin","12905"
"2018","Fingal","3037"
"2018","Galway","2327"
"2018","Kerry","744"
"2018","Kildare","5565"
"2018","Kilkenny","818"
"2018","Laois","1288"
"2018","Leitrim","33"
"2018","Limerick","1687"
"2018","Longford","177"
"2018","Louth","1097"
"2018","Mayo","594"
"2018","Meath","2958"
"2018","Monaghan","669"
"2018","Offaly","832"
"2018","Roscommon","374"
"2018","Sligo","271"
"2018","Tipperary","605"
"2018","Waterford","1446"
"2018","Wexford","1793"
"2018","Wicklow","1480"
"2019","Carlow","468"
"2019","Cavan","616"
"2019","Clare","919"
"2019","Cork","6364"
"2019","Donegal","1251"
"2019","Dublin","17699"
"2019","Fingal","2206"
"2019","Galway","1660"
"2019","Kerry","895"
"2019","Kildare","3710"
"2019","Kilkenny","1108"
"2019","Laois","1373"
"2019","Leitrim","94"
"2019","Limerick","1517"
"2019","Longford","378"
